Species	Unknown_disease_FRRP	Black_band_disease_FRRP	Dark_spots_FRRP	Red_band_FRRP	White_band_FRRP	White_plague_FRRP	White_spot_FRRP	Yellow_band_FRRP	Algal_infection_HICORDIS	Algal_overgrowth_HICORDIS	Black_band_disease_HICORDIS	Bleaching_HICORDIS	Ciliates_HICORDIS	Corallophila_huysmansii_HICORDIS	Cyanobacteria_HICORDIS	Discoloration_HICORDIS	Endolithic_fungal_infection_HICORDIS	Endolithic_hypermycosis_HICORDIS	Gear_entanglement_HICORDIS	Growth_anomalies_HICORDIS	Macroalgal_overgrowth_HICORDIS	No_Disease_HICORDIS	Pigmentation_response_HICORDIS	Predation_HICORDIS	Recently_denuded_skeleton_HICORDIS	Swollen_patches_HICORDIS	Tissue_loss_HICORDIS	Trematodiasis_HICORDIS	White_syndrome_HICORDIS	Total_diseased_Lamb_et_al	Total_compromised_or_bleached_Lamb_et_al	White_syndrome_Lamb_et_al	Black_band_disease_Lamb_et_al	Brown_band_Lamb_et_al	Skeletal_eroding_band_Lamb_et_al	Growth_anomalies_Lamb_et_al
PEC_Oxypora																														0.011220196353436185	0.04067321178120617	0.005610098176718092	0.001402524544179523	0.001402524544179523	0.001402524544179523	0.0
PEC_Pectinia																														0.038461538461538464	0.09771309771309772	0.032224532224532226	0.0	0.0	0.006237006237006237	0.0
POC_Pocillopora									0.0	0.010623869801085	0.0	0.20809222423146473	0.0	0.0	0.0	0.05090415913200725	0.0	0.0	0.0	0.00022603978300175	0.00090415913200725	0.417209162145871	0.00090415913200725	0.030937311633513993	0.0	0.0	0.28019891500904154	0.0	0.0	0.0372940156114484	0.18560277536860365	0.004770164787510842	0.003035559410234172	0.0008673026886383347	0.02818733738074588	0.0004336513443191674
POC_Pocillopora_damicornis									0.0	0.003835826620637	0.0	0.14269275028768694	0.0	0.0	0.0	0.002685078634446	0.0	0.0	0.0	0.0	0.001917913310318	0.8342922899884921	0.0	0.006520905255081999	0.0	0.0	0.008055235903337	0.0	0.0							
POC_Pocillopora_eydouxi									0.0	0.0011600928074249998	0.0	0.014501160092808003	0.0	0.0	0.0	0.000580046403712	0.000580046403712	0.0	0.0	0.0	0.000580046403712	0.978538283062645	0.0	0.0011600928074249998	0.0	0.0	0.002900232018561	0.0	0.0							
POC_Pocillopora_meandrina									0.000484985652508	0.010346360586833	0.0	0.009295558339732	0.0010912177181430002	0.0	4.0415471042315e-05	0.0008891403629310002	8.083094208463e-05	0.0	4.0415471042315e-05	0.000202077355212	0.00262700561775	0.9603928383785308	0.000242492826254	0.008366002505759	4.0415471042315e-05	4.0415471042315e-05	0.005577335003839	0.000242492826254	0.0							
POC_Seriatopora																														0.05121951219512195	0.14634146341463414	0.006097560975609756	0.003658536585365854	0.0006097560975609756	0.04085365853658537	0.0
POC_Stylophora																														0.03687150837988827	0.1664804469273743	0.0033519553072625698	0.004469273743016759	0.0	0.02905027932960894	0.0011173184357541898
POR_Alveopora																														0.00749063670411985	0.011235955056179775	0.003745318352059925	0.0	0.0	0.003745318352059925	0.0
POR_Goniopora																														0.0014712569884706953	0.046839472487494316	0.0009095043201455207	2.675012706310355e-05	0.0	0.000535002541262071	0.0
POR_Porites									0.00032175032175025	0.01565481737895525	0.0	0.11142503329469476	0.0	0.0	0.0	0.0035392535392535	0.0	0.0	0.0	0.24435411142149527	0.00032175032175025	0.5366740401539515	0.02586206896551725	0.0086206896551725	0.0	0.0	0.04164347336444775	0.0115830115830115	0.0	0.013955864976207965	0.10765496758534794	0.007983904448631559	0.0019161370676715741	0.0004151630313288411	0.003385175486219781	0.00012774247117810494
POR_Porites_annae									0.0	0.08264462809917401	0.0	0.008264462809917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.090909090909091	0.008264462809917	0.6363636363636359	0.049586776859504	0.03305785123967	0.0	0.008264462809917	0.008264462809917	0.07438016528925599	0.0							
POR_Porites_astreoides	0.173	0.006	0.0	0.0	0.0	0.0	0.0	0.0																												
POR_Porites_branneri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																												
