Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
perc_dis,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.125083154,0.060796493,0.036080612,0.0110389428496582 + 1.96703843774814 - -1.95296156225186,0.151646381166844 + 2.10375975285354 - -1.81624024714646,"lambda=l,delta=ML,kappa=1",3 -/+ 2.04960609009601,-3.543111899,-3.218787575,,
perc_dis,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.063997771,0.087407646,0.063392058,0.00892897402272924 + 1.96468029751383 - -1.95531970248617,0.1778698596167 + 2.06407456590993 - -1.85592543409007,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.227555444221143,-27.0326175,-26.70829318,Model_3l_AIC,Model_3l_AICc
perc_bbd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.67967713,0.004535643,-0.021660788,3.823605974,0.203787819219086 + 2.31860092208967 - -1.60139907791033,"lambda=1,delta=1,kappa=1",NA,8.040058144,8.364382468,,
perc_bbd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.327423135,0.025247813,-0.00040356,3.817485944,0.210174686295598 + 1.98499871888868 - -1.93500128111132,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.413774788815027,-39.34812468,-39.02380036,,
perc_bbd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.658294105,0.005201994,-0.020976901,3.824932877,0.204495330060831 + 2.1077364916462 - -1.8122635083538,"lambda=l,delta=ML,kappa=1",3 -/+ 2.06274980478934,-1.242810887,-0.918486563,,
perc_bbd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.690652708,0.004214159,-0.021990732,3.876554439,0.214229410095608 + 2.06738144479507 - -1.85261855520493,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.24099960057321,-23.54290046,-23.21857614,Model_3l_AIC,Model_3l_AICc
perc_wd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.017325766,0.140132086,0.117503983,0.0727673593365311 + 1.98924097810278 - -1.93075902189722,0.1729799268801 + 2.2925987784716 - -1.6274012215284,"lambda=1,delta=1,kappa=1",NA,2.182836965,2.507161289,,
perc_wd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.242204217,0.035810843,0.010437445,0.0389736056144087 + 1.99280595116984 - -1.92719404883016,0.181227024197022 + 1.98770191215294 - -1.93229808784706,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.3917995965392,-39.7839557,-39.45963138,,
perc_wd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.022122028,0.130291292,0.10740422,0.0705222488901532 + 1.98955721899248 - -1.93044278100752,0.170850320816141 + 2.09631276526146 - -1.82368723473854,"lambda=l,delta=ML,kappa=1",3 -/+ 2.00932525686834,-6.618065702,-6.293741378,,
perc_wd,dominance_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.939525981,0.000153457,-0.026158294,0.00261011972986529 + 1.99417761221857 - -1.92582238778143,0.210950539954566 + 2.06754313244067 - -1.85245686755933,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.258827647091894,-23.38011669,-23.05579237,Model_3l_AIC,Model_3l_AICc
perc_dis,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.271748055,0.03169359,0.006211842,0.00383341412290397 + 1.9634372777697 - -1.9565627222303,0.886824975337876 + 2.12595437925464 - -1.79404562074536,"lambda=1,delta=1,kappa=1",NA,-53.63918655,-53.31486222,,
perc_dis,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.106119238,0.067249307,0.042703236,0.00534431554189604 + 1.96322878537727 - -1.95677121462273,0.869393214839813 + 1.97780940160987 - -1.94219059839013,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.881146813548161,-75.67557637,-75.35125205,,
perc_dis,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.25654275,0.033741738,0.008313889,0.00391775487998416 + 1.96340101343224 - -1.95659898656776,0.888453325487418 + 2.02946553595642 - -1.89053446404358,"lambda=l,delta=ML,kappa=1",3 -/+ 1.91690424457522,-61.72813424,-61.40380992,,
perc_dis,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.227943101,0.038017386,0.012702054,0.00341736879888709 + 1.96278864055233 - -1.95721135944767,0.896970806657701 + 2.02672824616821 - -1.89327175383179,"lambda=1,delta=1,kappa=ML",0.11874854879599 -/+ 0.549871685083308,-69.88905621,-69.56473189,Model_3l_AIC,Model_3l_AICc
perc_bbd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.635389598,0.005976766,-0.02018174,0.051895935338045 + 2.06856920872465 - -1.85143079127535,0.895282166873632 + 2.12806075913946 - -1.79193924086054,"lambda=1,delta=1,kappa=1",NA,-52.59070641,-52.26638209,,
perc_bbd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.235751963,0.036789761,0.011442123,0.0803321122000273 + 2.0266798247313 - -1.8933201752687,0.878597185997486 + 1.97613189402383 - -1.94386810597617,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.880332278163453,-74.3902264,-74.06590207,,
perc_bbd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.602911259,0.007190057,-0.01893652,0.0532447667414326 + 2.06149672384273 - -1.85850327615727,0.896647897288328 + 2.03031025988085 - -1.88968974011915,"lambda=l,delta=ML,kappa=1",3 -/+ 1.91188597229302,-60.64381029,-60.31948597,,
perc_bbd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.538966607,0.010014072,-0.016038189,0.0404900790667319 + 2.0253079383042 - -1.8946920616958,0.906684961720569 + 2.02766685896258 - -1.89233314103742,"lambda=1,delta=1,kappa=ML",0.130878650151609 -/+ 0.557598226261922,-68.74689605,-68.42257173,Model_3l_AIC,Model_3l_AICc
perc_wd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.002302627,0.219385701,0.198843219,0.0427013385921152 + 1.97306663571295 - -1.94693336428705,0.888740273921347 + 2.10862522934711 - -1.81137477065289,"lambda=1,delta=1,kappa=1",NA,-62.25788271,-61.93355839,,
perc_wd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.253677346,0.034144048,0.008726786,0.0241670555436252 + 1.98085117919164 - -1.93914882080836,0.883236264185885 + 1.98618380340544 - -1.93381619659456,"lambda=ML,delta=1,kappa=1",0.123845060830577 -/+ 0.90562208967014,-74.5143887,-74.19006438,,
perc_wd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.003376988,0.204698032,0.183769033,0.0421105203678623 + 1.97346505105248 - -1.94653494894752,0.889915318834847 + 2.02209847901514 - -1.89790152098486,"lambda=l,delta=ML,kappa=1",3 -/+ 1.79525938287712,-69.51650521,-69.19218088,,
perc_wd,gini_index_mucus,581844,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.080754191,0.078091797,0.053831054,0.0313247343004326 + 1.97745969812027 - -1.94254030187973,0.901891097146946 + 2.03145789214455 - -1.88854210785545,"lambda=1,delta=1,kappa=ML",0.24147996009104 -/+ 0.729252466298519,-71.36852382,-71.0441995,Model_3l_AIC,Model_3l_AICc
perc_dis,observed_features_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.209340699,0.041149816,0.015916917,4.07701769549974 + 5.15258321441583 - 1.23258321441583,152.56661578333 + 161.273533107912 - 157.353533107912,"lambda=1,delta=1,kappa=1",NA,496.0278849,496.3522092,,
perc_dis,observed_features_tissue,581844,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.734684046,0.00305781,-0.023177511,1.18554716498024 + 5.43261639428428 - 1.51261639428428,155.51054621128 + 21.2500080029086 - 17.3300080029086,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.937568303337725,483.0441382,483.3684626,,
