Disease_Trait,Diversity_Trait,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc
percent_skeletal_eroding_band,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.784657891,0.003634602,-0.043811369,0.00431257548473316 + 1.97558145226552 - -1.94441854773448,0.895744925845009 + 2.01531420477492 - -1.90468579522508,"lambda=l,delta=ML,kappa=1",3 -/+ 1.56540703153373,-42.18617863,-41.58617863,,
percent_skeletal_eroding_band,gini_index_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.485840812,0.02340739,-0.02309702,0.0124942361845812 + 1.97761084862816 - -1.94238915137184,0.90351422047104 + 2.01855501760454 - -1.90144498239546,"lambda=1,delta=1,kappa=ML",0.0799467718447566 -/+ 0.762562853916223,-43.36713726,-42.76713726,Model_3l_AIC,Model_3l_AICc
percent_skeletal_eroding_band,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data)",0.444950616,0.028051494,-0.018231768,3.902922282,0.176846508750584 + 2.13353064582954 - -1.78646935417046,"lambda=1,delta=1,kappa=1",NA,-20.5655098,-19.9655098,,
percent_skeletal_eroding_band,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.552599853,0.017051157,-0.029755931,3.910337471,0.162290062597135 + 1.98111775190954 - -1.93888224809046,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.633111040999868,-47.47605455,-46.87605455,,
percent_skeletal_eroding_band,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.447158369,0.02778428,-0.018511707,3.903220872,0.172845988108184 + 2.03689006607237 - -1.88310993392763,"lambda=l,delta=ML,kappa=1",3 -/+ 1.66941074240255,-27.03621914,-26.43621914,,
percent_skeletal_eroding_band,dominance_mucus,415583,mucus,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.527984632,0.019233839,-0.027469311,3.906665125,0.179348518640643 + 2.04169269513847 - -1.87830730486153,"lambda=1,delta=1,kappa=ML",0.270170943699274 -/+ 0.660459480057921,-33.57961277,-32.97961277,Model_3l_AIC,Model_3l_AICc
percent_disease,observed_features_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data)",0.444950616,0.028051494,-0.018231768,3.902922282,0.176846508750584 + 2.13353064582954 - -1.78646935417046,"lambda=1,delta=1,kappa=1",NA,-20.5655098,-19.9655098,,
percent_disease,observed_features_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.552599853,0.017051157,-0.029755931,3.910337471,0.162290062597135 + 1.98111775190954 - -1.93888224809046,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.633111040999868,-47.47605455,-46.87605455,,
percent_disease,observed_features_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.447158369,0.02778428,-0.018511707,3.903220872,0.172845988108184 + 2.03689006607237 - -1.88310993392763,"lambda=l,delta=ML,kappa=1",3 -/+ 1.66941074240255,-27.03621914,-26.43621914,,
percent_disease,observed_features_all,415583,all,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.527984632,0.019233839,-0.027469311,3.906665125,0.179348518640643 + 2.04169269513847 - -1.87830730486153,"lambda=1,delta=1,kappa=ML",0.270170943699274 -/+ 0.660459480057921,-33.57961277,-32.97961277,Model_3l_AIC,Model_3l_AICc
