host_genus,total,sum_dis,sum_healthy,sum_bbd,sum_comp,sum_dksp,sum_tissueloss,sum_wbd,sum_wpl,sum_wpx,sum_tissue_dksp,sum_tissue_bbd,sum_unknown,sum_wsynd,sum_growthanom,sum_ciliate,sum_fungal,sum_trematodiasis,sum_seb,sum_brb,sum_atn,percent_sum_dis,percent_sum_healthy,percent_sum_bbd,percent_sum_comp,percent_sum_dksp,percent_sum_tissueloss,percent_sum_wbd,percent_sum_wpl,percent_sum_wpx,percent_sum_tissue_dksp,percent_sum_tissue_bbd,percent_sum_unknown,percent_sum_wsynd,percent_sum_growthanom,percent_sum_ciliate,percent_sum_fungal,percent_sum_trematodiasis,percent_sum_seb,percent_sum_brb,percent_sum_atn
Stephanocoenia,20319,429,19890,1,79,262,12,0,21,0,0,0,53,0,0,0,0,0,0,0,0,2.111324376,97.88867562,0.004921502,0.388798661,1.289433535,0.059058025,0,0.103351543,0,0,0,0.260839608,0,0,0,0,0,0,0,0
Stylocoeniella,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stylophora,895,33,710,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,26,0,0,3.687150838,79.32960894,0.446927374,0,0,0,0,0,0,0,0,0,0.335195531,0.111731844,0,0,0,2.905027933,0,0
Symphyllia,286,1,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.34965035,97.2027972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34965035,0,0
Trachyphyllia,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tubastraea,220,2,215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.909090909,97.72727273,0,0,0,0,0,0,0,0,0,0,0.454545455,0,0,0,0,0.454545455,0,0
Turbinaria,641,12,527,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1.872074883,82.21528861,0,0,0,0,0,0,0,0,0,0,0.31201248,0.15600624,0,0,0,0.15600624,0,0
Unknown,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoanthus,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoanthus/Palythoa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
